Hour, Minute, Second, Pressure (psi)
14, 45, 32.677048, 2311
14, 45, 32.934968, 2311
14, 45, 33.638529, 2318
14, 45, 34.638328, 2317
14, 45, 35.633878, 2315
14, 45, 36.640475, 2321
14, 45, 37.634089, 2350
14, 45, 38.645348, 2295
14, 45, 39.636250, 2306
14, 45, 40.640394, 2282
14, 45, 41.631394, 2296
14, 45, 42.641617, 2300
14, 45, 43.643271, 2309
14, 45, 44.637527, 2329
14, 45, 45.638424, 2306
14, 45, 46.640631, 2351
14, 45, 47.661297, 2319
14, 45, 48.659766, 2302
14, 45, 49.647781, 2316
14, 45, 50.649902, 2357
14, 45, 51.672181, 2305
14, 45, 52.658738, 2311
14, 45, 53.653162, 2286
14, 45, 54.660156, 2307
14, 45, 55.657357, 2312
14, 45, 56.659331, 2314
14, 45, 57.660410, 2311
14, 45, 58.667760, 2319
14, 45, 59.664492, 2331
14, 46, 00.669292, 2313
14, 46, 01.667949, 2327
14, 46, 02.669661, 2311
14, 46, 03.677697, 2302
14, 46, 04.680227, 2299
14, 46, 05.681731, 2303
14, 46, 06.683160, 2349
14, 46, 07.685925, 2296
14, 46, 08.688346, 2283
